ticker,sector,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,cluster,pca1,pca2,annualized_volatility,skewness,kurtosis,max_drawdown,average_rolling_volatility,daily_mean_return,annualized_mean_return
CVX,Energy,1.0,0.007384803130229771,0.5,0.0037104532843484817,0.0036743498458812617,0.003153391896217447,0.1666666666666733,0.0012380656358214235,0.00123432201270564,0.0015590431803686766,0.0012200139165878137,3.4826929546957055e-05,0.0015595217863018165,-5.8000488949192075e-05,0,-0.46728707197347635,-1.34926594163122,0.2922764331065085,-0.9616975735703268,25.265770373604624,-0.5577393204405617,0.24798303379107955,0.0003569297929190491,0.08994630781560037
JNJ,Healthcare,1.0,0.007741779655714726,0.5,0.003889041664325369,0.003852737991389362,0.001130014469035389,0.1666666666666733,0.00130121208523873,0.0012866174938479008,0.0005595717057206106,0.0012830602487707266,1.0582047487054117e-05,0.0005598607158277249,8.309481111053186e-06,4,-1.1950565847485048,0.6686031293283503,0.1818236772398471,-0.3777587934527176,9.398515436092433,-0.27366252984205575,0.163068993842998,0.00039079528964773525,0.09848041299122928
PFE,Healthcare,1.0,0.002375897355373058,0.5,0.0011617247175447582,0.0012141726378283048,0.002017717799346942,0.1666666666666733,0.00038777631806325254,0.0003861720814182533,0.001000945401909182,0.0004140002782050284,1.557127564382891e-05,0.001001201121793927,7.735744768992812e-06,4,-1.902212821523905,-0.12541402115646566,0.23373844739109373,0.1603671110914556,4.352252390421696,-0.5896198626065046,0.21384690439893234,0.00012549647582105932,0.03162511190690695
MRK,Healthcare,1.0,0.006996652665301594,0.5,0.003485717353127209,0.0035109353121743707,0.0016441993018696274,0.1666666666666733,0.0011656163610846738,0.0011544846309578657,0.0008582628435142719,0.0011782253406082497,-7.283110551600368e-05,0.0008587675638713595,2.2295512856478726e-06,4,-1.3493268642010499,0.13679351514576737,0.22653506298000103,-0.21452943870302085,6.975938132125005,-0.43443403306152717,0.2085436224845024,0.0004041650279799025,0.10184958705093544
WMT,Consumer Staples,1.0,0.01202365485527383,0.5,0.006034142690517054,0.005989512164756759,0.00158129729955641,0.1666666666666733,0.002017146394226154,0.0019998499020647455,0.0007814018568370583,0.0019948311313460042,1.8016846363598822e-05,0.0007818785963557517,-2.3151159601618347e-07,1,-0.06916207971567014,0.5200840656161333,0.21732719739127612,-0.14434102614396485,13.73789291765027,-0.3643515474776886,0.19342574277069677,0.0005758697910259988,0.1451191873385517
COST,Consumer Staples,1.0,0.015394940489102284,0.5,0.007718056604166112,0.007676883884936155,0.001827946152262522,0.1666666666666733,0.0025758599744933495,0.00256633665517938,0.0008765659875865987,0.002555273614878397,7.484308942770294e-05,0.0008765370752482219,8.852463763535806e-07,1,0.9292629387275709,0.6362590167001937,0.21588185349929676,-0.4906904928854519,8.57596098877776,-0.31402424271686946,0.19767352431236587,0.0007687838585363109,0.19373353235115034
PG,Consumer Staples,1.0,0.005677580010764186,0.5,0.0028624613173302504,0.002815118693433937,0.0010600108767963791,0.1666666666666733,0.0009587069801794653,0.0009450473569713179,0.0005232949451772748,0.0009350356682313061,1.241010684770739e-05,0.0005243058247713935,1.7845284083737606e-06,4,-1.6909309459237134,0.5257840190638264,0.18584398981564942,-0.09003707486809945,10.208336437975943,-0.2450421448910931,0.1657542303187814,0.00027592152231063744,0.06953222362228063
SPY,ETF,1.0,0.01030792844346263,0.5,0.005190146072821386,0.005117782370641268,0.0010512682233400062,0.1666666666666733,0.001737255785538115,0.0017156345017451586,0.0005178315776361232,0.001701073934448055,1.6432174313591167e-05,0.0005170044713902904,-1.5287001431511103e-05,4,-0.7548514596939029,0.5532907316878048,0.1770158291464195,-0.5763557702834913,14.517204192487373,-0.3371727136342999,0.14837413313288478,0.0005161402265717272,0.13006733709607526
QQQ,ETF,1.0,0.013970600932649251,0.5,0.007051675249394619,0.006918925683254621,0.0015672274546429056,0.1666666666666733,0.0023626129139749834,0.002326449421444658,0.0007743502943101488,0.0022962381309049756,2.26707145156306e-05,0.0007702064458171243,2.6242809316879473e-07,1,0.3555876752578169,0.6390984907189553,0.21892889777092955,-0.3876454159915507,7.709713445618206,-0.35118723599276835,0.1929813002909646,0.0007074690000195127,0.17828218800491719
IWM,ETF,1.0,0.007154327959784419,0.5,0.0035950465759267765,0.0035592813838576307,0.0019478111004044459,0.1666666666666733,0.001201130145590365,0.0011927862847460565,0.0009623507578168861,0.0011832475495557881,2.3510322290181607e-05,0.0009619500202973813,-5.391865630081024e-05,4,-1.118524556262571,-0.6138619014427723,0.2254818934920881,-0.6885779567105521,8.758326839551994,-0.4113328165664366,0.20138124858705117,0.00035635741898780904,0.08980206958492788
EURUSD=X,FX,1.0,4.291315434367938e-05,0.5,6.249312080383703e-05,-1.9579966460158105e-05,0.00019659681837143632,0.1666666666666737,2.8292005542850758e-05,5.909109718135945e-06,0.00010289768426749796,-1.2744538089146444e-05,-1.0889092489770097e-05,0.00010458822659370893,3.42059896074529e-08,3,-3.3877844953041674,0.6971217309391565,0.07868348181471255,0.03503189753342021,2.6920201135439292,-0.2329188740857292,0.07439594937554479,-1.3589363403657896e-05,-0.0034245195777217897
GBPUSD=X,FX,1.0,-0.0007764810032023101,0.5,-0.00037795672060933683,-0.0003985242825929751,0.00028075157608952313,0.1666666666666737,-0.00012554243024843678,-0.00012687186011246318,0.00014867988571664866,-0.00013582621124025564,-1.6761061401199576e-05,0.00014883275177407393,-1.552940311186125e-06,3,-3.5439840920779444,0.5780547802772366,0.0913770463062797,-0.9920197362251312,15.178945324115531,-0.32467983709912296,0.08458693990584472,-5.0073178947515944e-05,-0.012618441094774018
JPY=X,FX,1.0,0.001978116073250026,0.5,0.0009896525922030383,0.0009884634810469876,0.0003129479100426679,0.1666666666666737,0.00032938756942521135,0.00033087745335261753,0.00015133702571659707,0.0003287930138471848,1.0216855512061434e-05,0.00015139402881400926,2.0959653423071965e-07,3,-2.859309981865478,0.7569708676053173,0.0893532674819825,-0.36161176811780404,3.2323352054848957,-0.20475367966514157,0.08320557275123865,9.593467532793472e-05,0.02417553818263955
CAD=X,FX,1.0,0.0008571921902960814,0.5,0.00038786775824741637,0.00046932443204866336,0.00018473083110118316,0.1666666666666737,0.00012203951202894008,0.00014378873418953547,9.063180376932064e-05,0.00016276784892956388,1.784473438310061e-06,9.231455389355252e-05,3.360878637471632e-07,3,-3.1839956017657918,0.7661263291676813,0.07113802639120809,-0.09058500570907434,2.8117162496064863,-0.17423519163150492,0.067215359605102,5.759624781750676e-05,0.014514254450011704
AUDUSD=X,FX,1.0,-0.000803301466067587,0.5,-0.0003779796386036494,-0.00042532182746393834,0.0003478281119804142,0.1666666666666737,-0.0001197869548011427,-0.00013840572900136207,0.000178552060509259,-0.00014345804923128857,-9.804718340471487e-06,0.0001790807698116264,-1.0091786258159274e-06,3,-3.496553665703467,0.5535985274862341,0.1014134604704501,-0.2250817540522926,2.9183622523612236,-0.3019502376631634,0.09671286164340141,-4.513999002907722e-05,-0.01137527748732746
