ticker,split,model,lookback,signature_level,forward,k_neighbors,signature_mmd,volatility,volatility_error,var_95,var_99,var_95_error,es_95,es_99,es_95_error,max_drawdown,max_drawdown_error,squared_return_acf_error
SPY,validation,signature_bootstrap,60,3,1,100,0.001603322099173237,0.11738410038993789,0.07039439157645493,0.01139242277580491,0.020991068709273013,0.008100774191671437,0.018477306082196384,0.026548743708331258,0.0056078284338275525,-0.06443684887494398,0.04088049516994853,0.03265935181875611
EURUSD=X,validation,real,60,3,1,100,,0.08520625322480384,0.0,0.008679789401987669,0.011764545268720738,0.0,0.011057507353115847,0.013384970437742678,0.0,-0.05456861125310367,0.0,0.0
EURUSD=X,validation,historical_bootstrap,60,3,1,100,0.00014068613134459482,0.0754445313785416,0.009761721846262242,0.0070782348361699745,0.010603441750325902,0.0016015545658176946,0.009887659107743647,0.01397055604499162,0.0011698482453721994,-0.0454855410145071,0.009083070238596572,0.02947143197365896
EURUSD=X,validation,signature_bootstrap,60,3,1,100,3.0063796717623932e-05,0.07006687474431074,0.015139378480493099,0.006558354628528247,0.010714089453860348,0.0021214347734594217,0.010024537344855389,0.0158962857310664,0.0010329700082604577,-0.042260513638874286,0.012308097614229387,0.025619561924049
SPY,validation,real,60,3,5,5,,0.18777849196639282,0.0,0.019493196967476346,0.02532593439381509,0.0,0.024085134516023936,0.028244347110469803,0.0,-0.10531734404489251,0.0,0.0
SPY,validation,historical_bootstrap,60,3,5,5,0.003483849984561349,0.16681331821508133,0.02096517375131149,0.016078860505204483,0.029783068542942742,0.0034143364622718636,0.02612132520383148,0.03572801548617678,0.0020361906878075438,-0.07657395592874558,0.028743388116146934,0.04695716461635955
SPY,validation,signature_bootstrap,60,3,5,5,0.0008096716319229251,0.15213463235664024,0.03564385960975258,0.01487817916326872,0.027810668942670626,0.004615017804207627,0.024404355773215158,0.03484487144652667,0.0003192212571912212,-0.08230740870668787,0.02300993533820464,0.048882452969382505
EURUSD=X,validation,real,60,3,5,5,,0.08520625322480384,0.0,0.008679789401987669,0.011764545268720738,0.0,0.011057507353115847,0.013384970437742678,0.0,-0.05456861125310367,0.0,0.0
EURUSD=X,validation,historical_bootstrap,60,3,5,5,0.0001233839509613535,0.0737241343244343,0.011482118900369542,0.00695431097373689,0.01060101925947578,0.0017254784282507794,0.009881599850003411,0.014058167348261463,0.0011759075031124357,-0.04442235809147487,0.010146253161628802,0.02617988146377203
EURUSD=X,validation,signature_bootstrap,60,3,5,5,9.871275069750222e-05,0.06266007723234383,0.022546175992460005,0.0061282990760628195,0.008391711603212924,0.0025514903259248496,0.007984862631187405,0.010359295058280909,0.0030726447219284417,-0.038940894839697836,0.015627716413405837,0.026384520355417336
SPY,validation,real,60,3,5,10,,0.18777849196639282,0.0,0.019493196967476346,0.02532593439381509,0.0,0.024085134516023936,0.028244347110469803,0.0,-0.10531734404489251,0.0,0.0
SPY,validation,historical_bootstrap,60,3,5,10,0.003483849984561349,0.16681331821508133,0.02096517375131149,0.016078860505204483,0.029783068542942742,0.0034143364622718636,0.02612132520383148,0.03572801548617678,0.0020361906878075438,-0.07657395592874558,0.028743388116146934,0.04695716461635955
SPY,validation,signature_bootstrap,60,3,5,10,0.0011548508644677825,0.13706495945902666,0.050713532507366155,0.013415284465273375,0.02480161852778274,0.0060779125022029715,0.02168317691911038,0.02991590778833734,0.0024019575969135565,-0.07030431506560272,0.03501302897928979,0.04676026558039679
EURUSD=X,validation,real,60,3,5,10,,0.08520625322480384,0.0,0.008679789401987669,0.011764545268720738,0.0,0.011057507353115847,0.013384970437742678,0.0,-0.05456861125310367,0.0,0.0
EURUSD=X,validation,historical_bootstrap,60,3,5,10,0.0001233839509613535,0.0737241343244343,0.011482118900369542,0.00695431097373689,0.01060101925947578,0.0017254784282507794,0.009881599850003411,0.014058167348261463,0.0011759075031124357,-0.04442235809147487,0.010146253161628802,0.02617988146377203
EURUSD=X,validation,signature_bootstrap,60,3,5,10,2.8219388521002925e-06,0.06577029468160353,0.019435958543200307,0.006327322085530824,0.009099794045962381,0.0023524673164568447,0.008499913799975702,0.011744819384499719,0.002557593553140145,-0.04130126739299191,0.01326734386011176,0.022638452338303798
SPY,validation,real,60,3,5,20,,0.18777849196639282,0.0,0.019493196967476346,0.02532593439381509,0.0,0.024085134516023936,0.028244347110469803,0.0,-0.10531734404489251,0.0,0.0
SPY,validation,historical_bootstrap,60,3,5,20,0.003483849984561349,0.16681331821508133,0.02096517375131149,0.016078860505204483,0.029783068542942742,0.0034143364622718636,0.02612132520383148,0.03572801548617678,0.0020361906878075438,-0.07657395592874558,0.028743388116146934,0.04695716461635955
SPY,validation,signature_bootstrap,60,3,5,20,0.0019326854575333655,0.1234104479606398,0.06436804400575302,0.01193046148552435,0.021873431960772922,0.007562735481951997,0.019081398985335542,0.02695339278563289,0.005003735530688395,-0.06400579103018186,0.04131155301471065,0.04734334879991925
EURUSD=X,validation,real,60,3,5,20,,0.08520625322480384,0.0,0.008679789401987669,0.011764545268720738,0.0,0.011057507353115847,0.013384970437742678,0.0,-0.05456861125310367,0.0,0.0
EURUSD=X,validation,historical_bootstrap,60,3,5,20,0.0001233839509613535,0.0737241343244343,0.011482118900369542,0.00695431097373689,0.01060101925947578,0.0017254784282507794,0.009881599850003411,0.014058167348261463,0.0011759075031124357,-0.04442235809147487,0.010146253161628802,0.02617988146377203
EURUSD=X,validation,signature_bootstrap,60,3,5,20,0.00010956155260316095,0.06468723742328436,0.020519015801519477,0.006263348888767566,0.008970209241129356,0.0024164405132201033,0.008459561397835932,0.011598237384659201,0.002597945955279915,-0.03897414997623089,0.015594461276872786,0.026713753719892302
SPY,validation,real,60,3,5,50,,0.18777849196639282,0.0,0.019493196967476346,0.02532593439381509,0.0,0.024085134516023936,0.028244347110469803,0.0,-0.10531734404489251,0.0,0.0
SPY,validation,historical_bootstrap,60,3,5,50,0.003483849984561349,0.16681331821508133,0.02096517375131149,0.016078860505204483,0.029783068542942742,0.0034143364622718636,0.02612132520383148,0.03572801548617678,0.0020361906878075438,-0.07657395592874558,0.028743388116146934,0.04695716461635955
SPY,validation,signature_bootstrap,60,3,5,50,0.0008130442039532142,0.13310276874501054,0.05467572322138228,0.013067547144297273,0.02375677412129725,0.006425649823179074,0.021207260658352198,0.029270831497168127,0.0028778738576717387,-0.07448553906771425,0.03083180497717826,0.044036677536479066
